ville;code_postal;latitude;longitude;department_name;region
parigny les vaux;58320;47.100804556;3.14618141;nièvre;bourgogne-franche-comté
perroy;58220;47.404986749;3.164677484;nièvre;bourgogne-franche-comté
pougny;58200;47.393831753;3.023949976;nièvre;bourgogne-franche-comté
raveau;58400;47.17926708;3.11591039;nièvre;bourgogne-franche-comté
rix;58500;47.428512741;3.497810228;nièvre;bourgogne-franche-comté
rouy;58110;47.038444956;3.540866134;nièvre;bourgogne-franche-comté
saincaize meauce;58470;46.907173624;3.086845687;nièvre;bourgogne-franche-comté
st amand en puisaye;58310;47.548323784;3.078355821;nièvre;bourgogne-franche-comté
st andelain;58150;47.310384116;2.979820121;nièvre;bourgogne-franche-comté
st aubin les forges;58130;47.142698568;3.188014293;nièvre;bourgogne-franche-comté
st benin d azy;58270;46.996333663;3.404599867;nièvre;bourgogne-franche-comté
st brisson;58230;47.267265254;4.095032233;nièvre;bourgogne-franche-comté
ste colombe des bois;58220;47.320917806;3.153157406;nièvre;bourgogne-franche-comté
st didier;58190;47.347673421;3.620226539;nièvre;bourgogne-franche-comté
st germain des bois;58210;47.368787274;3.519227773;nièvre;bourgogne-franche-comté
st hilaire en morvan;58120;47.06844189;3.887071717;nièvre;bourgogne-franche-comté
st martin d heuille;58130;47.047771084;3.232701792;nièvre;bourgogne-franche-comté
st parize le chatel;58490;46.850549482;3.184554383;nièvre;bourgogne-franche-comté
st pereuse;58110;47.058655622;3.809291888;nièvre;bourgogne-franche-comté
st pierre du mont;58210;47.397152106;3.445964737;nièvre;bourgogne-franche-comté
st saulge;58330;47.101706892;3.519020775;nièvre;bourgogne-franche-comté
saizy;58190;47.356468636;3.699305614;nièvre;bourgogne-franche-comté
sauvigny les bois;58160;46.97672732;3.265716918;nièvre;bourgogne-franche-comté
savigny poil fol;58170;46.783063431;3.834829642;nièvre;bourgogne-franche-comté
sermages;58290;47.014754309;3.840844707;nièvre;bourgogne-franche-comté
sougy sur loire;58300;46.860833962;3.406365103;nièvre;bourgogne-franche-comté
taconnay;58420;47.312462675;3.489728345;nièvre;bourgogne-franche-comté
tamnay en bazois;58110;47.05447347;3.723322788;nièvre;bourgogne-franche-comté
ternant;58250;46.752204501;3.848258349;nièvre;bourgogne-franche-comté
tintury;58110;47.001103423;3.587717764;nièvre;bourgogne-franche-comté
tracy sur loire;58150;47.328811429;2.913507219;nièvre;bourgogne-franche-comté
trois vevres;58260;46.911289164;3.422713491;nièvre;bourgogne-franche-comté
varennes vauzelles;58640;47.037171544;3.143816706;nièvre;bourgogne-franche-comté
vauclaix;58140;47.226945644;3.818473294;nièvre;bourgogne-franche-comté
villapourcon;58370;46.938009519;3.956586921;nièvre;bourgogne-franche-comté
villiers le sec;58210;47.376396559;3.438075945;nièvre;bourgogne-franche-comté
abergement la ronce;39500;47.064796871;5.3777147020000005;jura;bourgogne-franche-comté
aiglepierre;39110;46.955778512;5.809725465;jura;bourgogne-franche-comté
andelot en montagne;39110;46.859307701;5.9287358910000005;jura;bourgogne-franche-comté
annoire;39120;46.959137146;5.277080177;jura;bourgogne-franche-comté
arbois;39600;46.894404349;5.773071251;jura;bourgogne-franche-comté
ardon;39300;46.772582561;5.876813684;jura;bourgogne-franche-comté
arinthod;39240;46.393818871;5.582269114;jura;bourgogne-franche-comté
les arsures;39600;46.952953571;5.78448162;jura;bourgogne-franche-comté
la chailleuse;39270;46.581654364;5.526378282;jura;bourgogne-franche-comté
augea;39190;46.561977614;5.389704364;jura;bourgogne-franche-comté
augisey;39270;46.554958723;5.495274567;jura;bourgogne-franche-comté
